customer_id,gender,start_date,end_date,is_deleted,class,class_name,campaign_id,campaign_name,mean,median,max,min,routine_flg,calc_date,membership_period
OA832399,F,2015-05-01,,0,C01,0_종일,CA1,2_일반,4.833333333333333,5.0,8,2,1,2019-04-30,47
PL270116,M,2015-05-01,,0,C01,0_종일,CA1,2_일반,5.083333333333333,5.0,7,3,1,2019-04-30,47
OA974876,M,2015-05-01,,0,C01,0_종일,CA1,2_일반,4.583333333333333,5.0,6,3,1,2019-04-30,47
HD024127,F,2015-05-01,,0,C01,0_종일,CA1,2_일반,4.833333333333333,4.5,7,2,1,2019-04-30,47
HD661448,F,2015-05-01,,0,C03,2_야간,CA1,2_일반,3.9166666666666665,4.0,6,1,1,2019-04-30,47
IK271057,M,2015-05-01,,0,C01,0_종일,CA1,2_일반,3.75,3.5,5,2,1,2019-04-30,47
HI324666,M,2015-05-01,,0,C01,0_종일,CA1,2_일반,3.9166666666666665,3.5,7,2,1,2019-04-30,47
AS647421,F,2015-05-01,,0,C01,0_종일,CA1,2_일반,4.5,4.0,9,2,1,2019-04-30,47
AS069821,F,2015-05-01,,0,C03,2_야간,CA1,2_일반,4.083333333333333,3.5,7,2,1,2019-04-30,47
GD039425,F,2015-05-01,,0,C01,0_종일,CA1,2_일반,4.666666666666667,4.5,7,3,1,2019-04-30,47
OA789036,F,2015-05-01,,0,C02,1_주간,CA1,2_일반,4.75,5.0,7,1,1,2019-04-30,47
AS058623,F,2015-05-01,,0,C01,0_종일,CA1,2_일반,4.5,5.0,6,3,1,2019-04-30,47
AS857207,F,2015-05-01,,0,C02,1_주간,CA1,2_일반,4.5,5.0,8,2,1,2019-04-30,47
AS625883,F,2015-05-01,,0,C02,1_주간,CA1,2_일반,4.75,5.0,6,2,1,2019-04-30,47
HD782984,F,2015-05-01,,0,C02,1_주간,CA1,2_일반,4.833333333333333,5.0,7,2,1,2019-04-30,47
HI804186,F,2015-05-01,,0,C02,1_주간,CA1,2_일반,4.833333333333333,5.0,7,2,1,2019-04-30,47
AS732240,F,2015-05-01,,0,C02,1_주간,CA1,2_일반,4.666666666666667,5.0,7,2,1,2019-04-30,47
PL834411,F,2015-05-01,,0,C03,2_야간,CA1,2_일반,4.916666666666667,4.5,8,1,1,2019-04-30,47
HD516059,M,2015-05-01,,0,C03,2_야간,CA1,2_일반,4.166666666666667,4.0,7,1,1,2019-04-30,47
HD194702,F,2015-05-01,,0,C02,1_주간,CA1,2_일반,4.916666666666667,5.0,8,1,1,2019-04-30,47
IK102369,M,2015-05-01,,0,C01,0_종일,CA1,2_일반,4.75,5.0,6,3,1,2019-04-30,47
AS183155,F,2015-05-01,,0,C03,2_야간,CA1,2_일반,4.5,4.5,7,2,1,2019-04-30,47
HI339146,F,2015-05-01,,0,C01,0_종일,CA1,2_일반,4.5,4.5,7,2,1,2019-04-30,47
AS476267,F,2015-05-01,,0,C02,1_주간,CA1,2_일반,4.916666666666667,5.0,7,3,1,2019-04-30,47
PL928545,F,2015-05-01,,0,C02,1_주간,CA1,2_일반,4.333333333333333,4.0,7,2,1,2019-04-30,47
OA372777,M,2015-05-01,,0,C03,2_야간,CA1,2_일반,3.6666666666666665,4.0,6,1,1,2019-04-30,47
PL765022,M,2015-05-01,,0,C01,0_종일,CA1,2_일반,4.583333333333333,4.5,7,3,1,2019-04-30,47
OA803393,M,2015-05-01,,0,C01,0_종일,CA1,2_일반,4.75,4.5,8,2,1,2019-04-30,47
OA071756,M,2015-05-01,,0,C01,0_종일,CA1,2_일반,4.166666666666667,4.0,6,2,1,2019-04-30,47
HI598974,M,2015-05-01,,0,C03,2_야간,CA1,2_일반,5.083333333333333,5.0,7,3,1,2019-04-30,47
GD214739,M,2015-05-01,,0,C01,0_종일,CA1,2_일반,5.416666666666667,5.0,8,3,1,2019-04-30,47
OA557824,F,2015-05-01,,0,C02,1_주간,CA1,2_일반,4.25,4.0,8,1,1,2019-04-30,47
IK098074,F,2015-05-01,,0,C01,0_종일,CA1,2_일반,4.083333333333333,3.5,7,1,1,2019-04-30,47
HD792156,F,2015-05-01,,0,C01,0_종일,CA1,2_일반,4.666666666666667,5.0,7,2,1,2019-04-30,47
OA478509,M,2015-05-01,,0,C02,1_주간,CA1,2_일반,4.666666666666667,5.0,7,2,1,2019-04-30,47
HI388582,F,2015-05-01,,0,C02,1_주간,CA1,2_일반,4.833333333333333,5.0,6,3,1,2019-04-30,47
TS210661,M,2015-05-01,,0,C01,0_종일,CA1,2_일반,4.833333333333333,4.5,8,3,1,2019-04-30,47
TS837282,F,2015-05-01,,0,C01,0_종일,CA1,2_일반,5.583333333333333,5.5,8,3,1,2019-04-30,47
OA758157,M,2015-05-01,,0,C01,0_종일,CA1,2_일반,4.0,4.0,6,2,1,2019-04-30,47
OA790739,M,2015-05-01,,0,C01,0_종일,CA1,2_일반,4.833333333333333,5.0,7,3,1,2019-04-30,47
AS734592,F,2015-05-01,,0,C02,1_주간,CA1,2_일반,5.333333333333333,6.0,8,2,1,2019-04-30,47
GD022268,M,2015-05-01,,0,C02,1_주간,CA1,2_일반,4.166666666666667,5.0,7,1,1,2019-04-30,47
IK059803,F,2015-05-01,,0,C02,1_주간,CA1,2_일반,4.25,4.0,6,3,1,2019-04-30,47
TS487207,M,2015-05-01,,0,C01,0_종일,CA1,2_일반,4.0,4.0,6,2,1,2019-04-30,47
OA994859,F,2015-05-01,,0,C01,0_종일,CA1,2_일반,5.5,5.0,9,3,1,2019-04-30,47
PL221419,M,2015-05-01,,0,C02,1_주간,CA1,2_일반,5.5,5.5,9,3,1,2019-04-30,47
HI570349,F,2015-05-01,,0,C01,0_종일,CA1,2_일반,4.916666666666667,5.0,7,2,1,2019-04-30,47
TS945284,M,2015-05-01,,0,C03,2_야간,CA1,2_일반,4.583333333333333,4.5,7,3,1,2019-04-30,47
